years,renewable,total
2011,528952000000.0,4326625000000.0
2010,440669000000.0,4354355000000.0
2009,428695000000.0,4165394000000.0
2008,391021000000.0,4342979000000.0
2007,361814000000.0,4323914000000.0
2006,395209000000.0,4275011000000.0
2005,366205000000.0,4268887000000.0
2004,357987000000.0,4148080000000.0
2003,360433000000.0,4054649000000.0
2002,348137000000.0,4026399000000.0
2001,260426000000.0,3838831000000.0
2000,330364000000.0,4025885000000.0
1999,351308000000.0,3873638000000.0
1998,365559000000.0,3804504000000.0
1997,403130000000.0,3672220000000.0
1996,422867000000.0,3651244000000.0
1995,384343000000.0,3558374000000.0
1994,336458000000.0,3451830000000.0
1993,355578000000.0,3391520000000.0
1992,324316000000.0,3270597000000.0
1991,350142000000.0,3254890000000.0
1990,369241000000.0,3202813000000.0
1989,327304000000.0,3127886000000.0
1988,221132000000.0,2858042000000.0
1987,249863000000.0,2717187000000.0
1986,305955000000.0,2639724000000.0
1985,295342000000.0,2621929000000.0
1984,332582000000.0,2562773000000.0
1983,341877000000.0,2449040000000.0
1982,317427000000.0,2376635000000.0
1981,269712000000.0,2437024000000.0
1980,284590000000.0,2427320000000.0
1979,287209000000.0,2359663000000.0
1978,286721000000.0,2316442000000.0
1977,226925000000.0,2232454000000.0
1976,290640000000.0,2137957000000.0
1975,306703000000.0,2011160000000.0
1974,306937000000.0,1957335000000.0
1973,268132000000.0,1965509000000.0
1972,272826000000.0,1851109000000.0
1971,264338000000.0,1703380000000.0
